B1200	Кнопка климат-контроля отказ цепи
P1477	Electrodrive Fan 2 Operational отказ (сторона пассажира)
P1478	Fan вторичный высокий с Fan (s) Off
P1479	Низкий управление вентилятором основной неисправность цепи
P1480	Fan реле (низкий) неисправность цепи
P1481	Fan реле (высокий) неисправность цепи
P1482	Additional Fan реле неисправность цепи
P1483	Вентилятор охлаждения водителя неисправность
P1484	Высокий управление вентилятором основной неисправность цепи
P1485	Fan вторичный низкий с низкий Fan на
P1486	Fan вторичный низкий с высокий Fan на
P1487	SCP
P1490	Питание на Fan цепь Overcurrent
P1491	Обрыв питание на масса VCRM
P1492	EGRV неисправность цепи
P1493	EGRA неисправность цепи
P1494	EGRCHK соленоид неисправность цепи
P1495	Вторичный воздух Relief соленоид неисправность цепи
P1500	Вторичный выключатель соленоид неисправность цепи
P1501	APLSOL соленоид неисправность цепи
P1502	RCNT соленоид неисправность цепи
P1503	SPCUT соленоид неисправность цепи
P1504	TCSPL соленоид неисправность цепи
P1505	Датчик скорости автомобиля с перебоями
P1506	Датчик скорости автомобиля Out Self Test диапазон
P1507	Датчик скорости автомобиля с перебоями неисправность
P1508	Auxillary датчик скорости неисправность
P1509	Регулятор ХХ неисправность цепи
P1510	Регулятор ХХ система At Adaptive Clip
P1511	Регулятор ХХ Overspeed Error
P1512	Регулятор ХХ Underspeed Error
P1513	Idle управление система обрыв цепи
P1514	Idle управление система цепь Shorted
P1515	Idle сигнал неисправность цепи
P1516	Idle выключатель (Electric управление дроссель) неисправность цепи
P1517	Впуск Manifold Runner управление (банк 1) Stuck Closed
P1518	Впуск Manifold Runner управление (банк 2) Stuck Closed
P1519	Высокий Load Neutral/Drive неисправность
P1520	Electric ток неисправность цепи
P1521	IMRC вход Error (банк 1)
P1522	IMRC вход Error (банк 2)
P1523	Впуск Manifold Runner управление (Stuck обрыв)
P1524	Впуск Manifold Runner управление (Stuck Closed)
P1525	Впуск Manifold Runner управление неисправность цепи
P1526	Variable впуск соленоид # 1 неисправность цепи
P1527	Variable впуск соленоид # 2 неисправность цепи
P1528	IVC соленоид неисправность цепи
P1529	Variable впуск соленоид система
P1530	Воздух байпас клапан система
P1531	Воздух байпас система
P1532	Accelerate Warmup соленоид неисправность цепи
P1533	Subsidiary дроссель клапан соленоид неисправность цепи
P1534	SCAIR соленоид неисправность цепи
P1535	А/С сцепление неисправность цепи
P1536	Неверный Test - Accelerator Pedal Movement
P1537	IMCC неисправность цепи
P1538	AAI неисправность цепи
P1539	Inertia выключатель Activated
P1540	Blower Fan скорость цепь: диапазон/производительность
P1549	Parking выключатель тормоза отказ цепи
P1550	Впуск Manifold Runner управление (банк 1) Stuck обрыв
P1565	Впуск Manifold Runner управление (банк 2) Stuck обрыв
P1566	Питание на А/С сцепление цепь Overcurrent
P1567	Воздух байпас клапан неисправность цепи
P1568	IMCC неисправность цепи
P1571	PSPS Out Self Test диапазон
P1572	Скорость управление Command выключатель вне диапазона высокий
P1573	Скорость управление Command выключатель вне диапазона низкий
P1574	Скорость управление выход цепь Continuity
P1575	Скорость управление Unable на Hold скорость
P1576	Выключатель тормоза неисправность
P1577	Тормоз Pedal выключатель неисправность цепи
P1578	Дроссель положение Not Available
P1579	Датчик положения дросселя Disagreement btwn Sensors
P1580	Pedal положение Out Self Test диапазон
P1581	Pedal положение Not Available
P1582	Pedal датчик положения Disagreement btwn Sensors
P1583	ETC питание Less Than Demand
P1584	ETC в питание Limiting Mode
P1585	Electronic дроссель Monitor PCM Override
P1586	Electronic дроссель Monitor неисправность
P1587	Electronic дроссель Monitor данные Available
P1588	Electronic дроссель Monitor Cruise Disable
P1589	TCU обнаружено IPE неисправность цепи
P1600	Дроссель управление блок неисправность
P1601	Дроссель управление блок дроссель положение неисправность
P1602	Дроссель управление блок Modulated Command неисправность
P1603	Дроссель управление блок обнаружено Loss Return Spring
P1604	TCU Unable на управление Desired дроссель Angle
P1605	Loss KAM питание; обрыв цепи
P1606	ECM/TCM Serial связь Error
P1607	Immobilizer/ECM связь Error
P1608	EEPROM неисправность
P1609	Code Word Unregestered
P1610	Память KAM Test отказ
P1611	ECM управление реле O/P неисправность цепи
P1612	MIL O/P неисправность цепи
P1613	Internal ECM неисправность
P1614	Diagnostic лампа водителя неисправность
P1615	SBDS Interactive Codes
P1616	SBDS Interactive Codes
P1617	SBDS Interactive Codes
P1618	SBDS Interactive Codes
P1619	SBDS Interactive Codes
P1620	SBDS Interactive Codes
P1621	SBDS Interactive Codes
P1622	SBDS Interactive Codes
P1623	SBDS Interactive Codes
P1624	SBDS Interactive Codes
P1625	SBDS Interactive Codes
P1626	Модуль управления Long Term Memory производительность/ Immobilizer Code Words Do Not Match
P1627	Immobilizer ID Does Not Match
P1628	Immobilizer Code Word/ID число Write отказ
P1629	Anti Theft система
P1630	B + питание на VCRM Fan неисправность цепи
P1631	Theft Deterrent топливо Enable сигнал Not Received/ B + питание на VCRM А/С неисправность цепи
P1632	Модуль питание напряжение вне диапазона
P1633	Модуль зажигание питание вход неисправность
P1634	Internal напряжение Regulator неисправность
P1635	Internal Vref неисправность
P1636	Theft Deterrent Start Enable сигнал Not Correct/ Main реле неисправность (питание Hold)
P1637	Smart Alternator Faults Sensor/Circuit неисправность
P1638	KAM напряжение слишком низкий
P1639	Данные выход Link отказ цепи
P1640	Tire/ Axle Ratio Out Acceptable диапазон
P1641	Inductive Signature Chip связь Error
P1642	Can Link ECM/ABSCM цепь/ сеть неисправность
P1643	Can Link ECM/INSTM цепь/ сеть неисправность
P1644	Vehicle ID Block Corrupted или Not запрограммированных
P1645	Powertrain DTCs Available в Another модуль
P1650	Топливный насос основной отказ цепи
P1651	Топливный насос Monitor высокий уровень сигнала цепи
P1652	Топливный насос Monitor низкий уровень сигнала цепи
P1653	Топливный насос скорость управление неисправность цепи
P1654	Топливный насос Resistor выключатель неисправность цепи
P1655	PSP выключатель Out Self Test диапазон
P1660	PSP выключатель вход неисправность
P1661	IAC Monitor Disabled by PSP выключатель Failed на
P1662	Питание рулевое выход неисправность цепи
P1663	Рециркуляция Override неисправность цепи
P1667	Starter Disable неисправность цепи
P1668	Выход цепь Check сигнал высокий
P1670	Выход цепь Check сигнал низкий
P1680	IDM_EN отказ цепи
P1681	Топливо Demand Command сигнал неисправность цепи
P1682	CI неисправность цепи
P1683	PCM - IDM Communications Error
P1684	Electronic обратная связь сигнал Not обнаружено
P1685	Metering масло насос неисправность
P1686	Metering масло насос неисправность
P1687	Metering масло насос неисправность
P1688	Metering масло насос датчик температуры неисправность цепи
P1689	Metering масло насос датчик положения неисправность цепи
P1690	Metering масло насос Stepping электродвигатель неисправность цепи
P1691	Metering масло насос Stepping электродвигатель неисправность цепи
P1692	Metering масло насос Stepping электродвигатель неисправность цепи
P1693	Metering масло насос Stepping электродвигатель неисправность цепи
P1694	Масло давление управление соленоид неисправность цепи
P1700	Wastegate соленоид неисправность цепи
P1701	Turbo давление управление соленоид неисправность цепи
P1702	Turbo управление соленоид неисправность цепи
P1703	Turbo Charge управление неисправность цепи
P1704	Turbo Charge Relief неисправность цепи
P1705	Трансмиссия Indeterminate отказ (Failed на Neutral)
P1706	Reverse Engagement Error
P1707	TRS цепь с перебоями неисправность
P1708	Выключатель тормоза Out Self Test диапазон
P1709	Digital TRS Failed на Transition States в KOEO/ KOER
P1711	Not в P или N During KOEO/ KOER
P1712	Высокий Vehicle скорость Observed в Park
P1713	Раздаточная коробка Neutral индикатор Hard неисправность Present
P1714	Сцепление выключатель неисправность цепи
P1715	PNP выключатель Out Self Test диапазон
P1716	TFT датчик Out Self Test диапазон
P1717	Trans Torque Reduction Request сигнал неисправность
P1718	TFT датчик в диапазон отказ низкий Value
P1720	SSA Inductive Signature неисправность
P1721	SSB Inductive Signature неисправность
P1722	SSC Inductive Signature неисправность
P1723	SSD Inductive Signature неисправность
P1724	TFT датчик в диапазон отказ высокий
P1725	Vehicle скорость (Meter) неисправность цепи
P1726	Gear 1 некорректный Ratio
P1727	Gear 2 некорректный Ratio
P1728	Gear 3 некорректный Ratio
P1729	Gear 4 некорректный Ratio
P1730	Недостаточно двигатель скорость Increase During Self Test
P1731	Недостаточно двигатель скорость Decrease During Self Test
P1732	Coast сцепление соленоид Inductive Signature неисправность
P1733	Трансмиссия Slip Error
P1734	4x4 низкий выключатель Error
P1735	Gear управление неисправность 2
P1736	1-2 Shift неисправность
P1737	2-3 Shift неисправность
P1738	3-4 Shift неисправность
P1739	Gear управление неисправность
P1740	First Gear выключатель неисправность цепи
P1741	Second Gear выключатель неисправность цепи
P1742	Lockup соленоид система
P1743	Shift Time Error
P1744	Slip соленоид система
P1745	Блокировка гидротрансформатора Inductive Signature неисправность
P1746	Блокировка гидротрансформатора управление Error
P1747	Блокировка гидротрансформатора соленоид Failed на
P1748	Блокировка гидротрансформатора соленоид Failied на
P1749	Блокировка гидротрансформатора система производительность
P1751	Line давление соленоид система
P1754	Давление управление соленоид " A " обрыв цепи
P1755	Давление управление соленоид " A " КЗ цепь
P1756	EPC неисправность
P1760	Давление управление соленоид Failed низкий
P1761	Соленоид переключения A производительность
P1762	Coast сцепление соленоид неисправность цепи
P1765	Intermediate датчик скорости (ISS) неисправность
P1767	Соленоид переключения B производительность
P1768	Давление управление соленоид " A " КЗ цепь
P1769	Соленоид переключения C производительность
P1770	Overdrive Band Failed Off
P1775	Timing соленоид неисправность цепи
P1776	Блокировка гидротрансформатора неисправность цепи
P1777	Производительность/ Normal/ Winter Mode вход неисправность
P1778	AG4 трансмиссия Torque Modulation неисправность
P1779	Сцепление соленоид неисправность цепи
P1780	Трансмиссия система MIL неисправность
P1781	Зажигание Retard Request Duration неисправность
P1782	Зажигание Retard Request цепь неисправность
P1783	Трансмиссия Reverse I/P неисправность цепи
P1784	TCIL неисправность цепи
P1785	Trans управление выключатель (O/D Cancel) Out Self Test диапазон
P1786	4X4 выключатель Out Self Test диапазон
P1787	P/ES цепь Out Self Test диапазон
P1788	Трансмиссия Overtemperature Condition
P1789	Трансмиссия Mechanical отказ - First и Reverse
P1790	Трансмиссия Mechanical отказ - First и Second
P1791	3-2 Downshift Error
P1792	2-1 Downshift Error
P1793	Давление управление соленоид " B " обрыв цепи
P1794	Давление управление соленоид " B " КЗ цепь
P1795	TP (Mechanical) неисправность цепи
P1796	TP (Electric) неисправность цепи
P1797	Barometer давление неисправность цепи
P1798	Впуск воздух Volume неисправность цепи
P1799	АКБ напряжение неисправность цепи
P1800	Idle выключатель неисправность цепи
P1801	Kick вниз выключатель неисправность цепи
P1802	Neutral выключатель неисправность цепи
P1803	ОЖ температура неисправность цепи
P1804	Hold выключатель неисправность цепи
P1805	Трансмиссия сцепление Interlock Safety выключатель отказ цепи
P1806	Трансмиссия сцепление Interlock Safety выключатель обрыв цепи
P1807	Трансмиссия сцепление Interlock Safety выключатель КЗ на питание
P1808	Трансмиссия сцепление Interlock Safety выключатель КЗ на массу
P1809	Трансмиссия 4-Wheel Drive высокий индикатор отказ цепи
P1810	Трансмиссия 4-Wheel Drive высокий индикатор обрыв цепи
P1811	Трансмиссия 4-Wheel Drive высокий индикатор КЗ на питание
P1812	Трансмиссия 4-Wheel Drive высокий индикатор КЗ на массу
P1813	Трансмиссия 4-Wheel Drive низкий индикатор отказ цепи
P1814	Трансмиссия 4-Wheel Drive низкий индикатор обрыв цепи
P1815	TFP клапан положение выключатель цепь/ трансмиссия 4-Wheel Drive низкий индикатор КЗ на питание
P1816	Трансмиссия 4-Wheel Drive низкий индикатор КЗ на массу
P1817	Трансмиссия 4-Wheel Drive Mode Select отказ цепи
P1818	Трансмиссия 4-Wheel Drive Mode Select обрыв цепи
P1819	Трансмиссия 4-Wheel Drive Mode Select КЗ на питание
P1820	Трансмиссия 4-Wheel Drive Mode Select КЗ на массу
P1821	Трансмиссия Neutral Safety выключатель отказ цепи
P1822	Трансмиссия Neutral Safety выключатель обрыв цепи
P1823	Трансмиссия Neutral Safety выключатель КЗ на питание
P1824	Трансмиссия Neutral Safety выключатель КЗ на массу
P1825	Трансмиссия раздаточная коробка Clockwise Shift обмотка реле отказ цепи
P1826	Трансмиссия раздаточная коробка Clockwise Shift обмотка реле обрыв цепи
P1827	Трансмиссия раздаточная коробка Clockwise Shift обмотка реле КЗ на питание
P1828	Трансмиссия раздаточная коробка Clockwise Shift обмотка реле КЗ на массу
P1829	Трансмиссия 4-Wheel Drive сцепление реле отказ цепи
P1830	Трансмиссия 4-Wheel Drive сцепление реле обрыв цепи
P1831	Трансмиссия 4-Wheel Drive низкий сцепление реле цепь на АКБ
P1832	Трансмиссия 4-Wheel Drive низкий сцепление реле цепь на масса
P1833	Трансмиссия раздаточная коробка Counter Clockwise Shift обмотка реле отказ цепи
P1834	Трансмиссия раздаточная коробка Counter Clockwise Shift обмотка реле обрыв цепи
P1835	Трансмиссия раздаточная коробка Counter Clockwise Shift обмотка реле КЗ на питание
P1836	Трансмиссия раздаточная коробка Counter Clockwise Shift обмотка реле КЗ на массу
P1837	Трансмиссия раздаточная коробка Differential Lock-Up соленоид отказ цепи
P1838	Трансмиссия раздаточная коробка Differential Lock-Up соленоид обрыв цепи
P1839	Трансмиссия раздаточная коробка Differential Lock-Up соленоид КЗ на питание
P1840	Трансмиссия раздаточная коробка Differential Lock-Up соленоид КЗ на массу
P1841	Трансмиссия раздаточная коробка передний Shaft датчик скорости отказ цепи
P1842	Трансмиссия раздаточная коробка задний Shaft датчик скорости отказ цепи
P1843	Трансмиссия раздаточная коробка Shift электродвигатель отказ цепи
P1844	Трансмиссия раздаточная коробка Shift электродвигатель обрыв цепи
P1845	Трансмиссия раздаточная коробка Shift электродвигатель КЗ на питание
P1846	Трансмиссия раздаточная коробка Shift электродвигатель КЗ на массу
P1847	Трансмиссия раздаточная коробка Differential Lock-Up обратная связь выключатель отказ цепи
P1848	Трансмиссия раздаточная коробка Differential Lock-Up обратная связь выключатель обрыв цепи
P1849	Трансмиссия раздаточная коробка Differential Lock-Up обратная связь выключатель КЗ на питание
P1850	Трансмиссия раздаточная коробка Differential Lock-Up обратная связь выключатель КЗ на массу
P1867	Трансмиссия раздаточная коробка Contact Plate питание отказ цепи
P1868	Трансмиссия раздаточная коробка Contact Plate питание обрыв цепи
P1869	Трансмиссия раздаточная коробка Contact Plate питание КЗ на питание
P1870	Трансмиссия раздаточная коробка Contact Plate питание КЗ на массу
P1871	Трансмиссия раздаточная коробка система Concern - Servicing Required
P1872	Трансмиссия раздаточная коробка Contact Plate General отказ цепи
P1873	Трансмиссия Automatic 4-Wheel Drive индикатор (лампа) отказ цепи
P1874	Трансмиссия Automatic 4-Wheel Drive индикатор (лампа) КЗ цепи на питание
P1875	Трансмиссия Component Slipping/ трансмиссия Mechanical раздаточная коробка 4x4 выключатель отказ цепи
P1876	Трансмиссия Mechanical раздаточная коробка 4x4 выключатель КЗ цепи на питание
P1877	Трансмиссия Mechanical 4-Wheel Drive Axle Lock лампа отказ цепи
P1878	Трансмиссия Mechanical 4-Wheel Drive Axle Lock лампа КЗ цепи на питание
P1879	Трансмиссия Automatic Hall Effect датчик питание отказ цепи
P1880	Трансмиссия Automatic Hall Effect датчик питание КЗ цепи на питание/ 4WD низкий выключатель цепь Electrical
P1881	Трансмиссия раздаточная коробка 2-Wheel Drive соленоид отказ цепи
P1882	Трансмиссия раздаточная коробка 2-Wheel Drive соленоид КЗ цепи на питание
P1883	Трансмиссия раздаточная коробка Disengaged соленоид отказ цепи
P1884	Трансмиссия раздаточная коробка Disengaged соленоид обрыв цепи
P1885	Трансмиссия раздаточная коробка Disengaged соленоид КЗ на питание
P1886	Двигатель ОЖ уровень выключатель отказ цепи
P1890	Двигатель ОЖ уровень выключатель КЗ цепи на массу
P1891	Двигатель ОЖ уровень выключатель отказ цепи
P1900	Двигатель ОЖ уровень лампа КЗ цепи на массу
P1901	Трансмиссия раздаточная коробка Disengaged соленоид КЗ на массу
P1902	4X4 Initialization отказ
P1903	Трансмиссия 4WD Mode Select Return вход отказ цепи
P1904	Трансмиссия раздаточная коробка Contact Plate масса Return обрыв цепи
P1905	OSS цепь с перебоями неисправность
P1906	TSS цепь с перебоями неисправность
P1907	Давление управление соленоид " B " с перебоями КЗ
P1908	Давление управление соленоид " C " КЗ цепь
P1909	Давление управление соленоид " C " обрыв цепи
P1910	Давление управление соленоид " C " с перебоями КЗ
P1911	Kickdown Pull реле обрыв или КЗ на массу
P1912	Kickdown Hold реле обрыв или КЗ на массу
P1913	Трансмиссия давление цепь соленоид обрыв или КЗ на массу
P1914	Trans Temp датчик обрыв цепи или Shorted на Pwr или Gnd
P1915	VFS A давление выход Failed низкий
P1916	VFS B давление выход Failed низкий
P1917	VFS C давление выход Failed низкий
P1918	Давление выключатель A неисправность цепи
U1000	SCP (J1850) неверные или отсутствующие данные для основной ID
U1001	SCP (J1850) неверные или отсутствующие данные для основной ID
U1002	SCP (J1850) неверные или отсутствующие данные для основной ID
U1003	SCP (J1850) неверные или отсутствующие данные для основной ID
U1004	SCP (J1850) неверные или отсутствующие данные для EEC Programming
U1005	SCP (J1850) неверные или отсутствующие данные для EEC Programming
U1006	SCP (J1850) неверные или отсутствующие данные для основной ID
U1007	SCP (J1850) неверные или отсутствующие данные для основной ID
U1008	SCP (J1850) неверные или отсутствующие данные для двигатель Torque
U1009	SCP (J1850) неверные или отсутствующие данные для двигатель Torque
U1010	SCP (J1850) неверные или отсутствующие данные для двигатель воздух впуск
U1011	SCP (J1850) неверные или отсутствующие данные для двигатель воздух впуск
U1012	SCP (J1850) неверные или отсутствующие данные для основной ID
U1013	SCP (J1850) неверные или отсутствующие данные для основной ID
U1014	SCP (J1850) неверные или отсутствующие данные для основной ID
U1015	SCP (J1850) неверные или отсутствующие данные для основной ID
U1016	SCP (J1850) неверные или отсутствующие данные для основной ID
U1017	SCP (J1850) неверные или отсутствующие данные для основной ID
U1018	SCP (J1850) неверные или отсутствующие данные для дроссель
U1019	SCP (J1850) неверные или отсутствующие данные для дроссель
U1020	SCP (J1850) неверные или отсутствующие данные для воздух Conditioning сцепление
U1021	SCP (J1850) неверные или отсутствующие данные для воздух Conditioning сцепление
U1022	SCP (J1850) неверные или отсутствующие данные для основной ID
U1023	SCP (J1850) неверные или отсутствующие данные для основной ID
U1024	SCP (J1850) неверные или отсутствующие данные для основной ID
U1025	SCP (J1850) неверные или отсутствующие данные для основной ID
U1026	SCP (J1850) неверные или отсутствующие данные для двигатель RPM
U1027	SCP (J1850) неверные или отсутствующие данные для двигатель RPM
U1028	SCP (J1850) неверные или отсутствующие данные для основной ID
U1029	SCP (J1850) неверные или отсутствующие данные для основной ID
U1030	SCP (J1850) неверные или отсутствующие данные для Experimental # 1
U1031	SCP (J1850) неверные или отсутствующие данные для Experimental # 1
U1032	SCP (J1850) неверные или отсутствующие данные для основной ID
U1033	SCP (J1850) неверные или отсутствующие данные для основной ID
U1034	SCP (J1850) неверные или отсутствующие данные для основной ID
U1035	SCP (J1850) неверные или отсутствующие данные для основной ID
U1036	SCP (J1850) неверные или отсутствующие данные для Wheels
U1037	SCP (J1850) неверные или отсутствующие данные для Wheels
U1038	SCP (J1850) неверные или отсутствующие данные для основной ID
U1039	SCP (J1850) неверные или отсутствующие данные для основной ID/ Vehicle скорость
U1040	SCP (J1850) неверные или отсутствующие данные для Vehicle скорость
U1041	SCP (J1850) неверные или отсутствующие данные для Vehicle скорость
U1042	SCP (J1850) неверные или отсутствующие данные для Traction управление
U1043	SCP (J1850) неверные или отсутствующие данные для Traction управление
U1044	SCP (J1850) неверные или отсутствующие данные для Traction электродвигатель
U1045	SCP (J1850) неверные или отсутствующие данные для Traction электродвигатель
U1046	SCP (J1850) неверные или отсутствующие данные для основной ID
U1047	SCP (J1850) неверные или отсутствующие данные для основной ID
U1048	SCP (J1850) неверные или отсутствующие данные для основной ID
U1049	SCP (J1850) неверные или отсутствующие данные для основной ID
U1050	SCP (J1850) неверные или отсутствующие данные для Brakes
U1051	SCP (J1850) неверные или отсутствующие данные для Brakes
U1052	SCP (J1850) неверные или отсутствующие данные для рулевое/ рулевое колесо
U1053	SCP (J1850) неверные или отсутствующие данные для рулевое/ рулевое колесо
U1054	SCP (J1850) неверные или отсутствующие данные для основной ID
U1055	SCP (J1850) неверные или отсутствующие данные для основной ID
U1056	SCP (J1850) неверные или отсутствующие данные для Vehicle конфигурация
U1057	SCP (J1850) неверные или отсутствующие данные для Vehicle конфигурация
U1058	SCP (J1850) неверные или отсутствующие данные для трансмиссия/ Transaxle/ PRNDL
U1059	SCP (J1850) неверные или отсутствующие данные для трансмиссия/ Transaxle/ PRNDL
U1060	SCP (J1850) неверные или отсутствующие данные для основной ID
U1061	SCP (J1850) неверные или отсутствующие данные для основной ID
U1062	SCP (J1850) неверные или отсутствующие данные для основной ID
U1063	SCP (J1850) неверные или отсутствующие данные для основной ID
U1064	SCP (J1850) неверные или отсутствующие данные для основной ID
U1065	SCP (J1850) неверные или отсутствующие данные для основной ID
U1066	SCP (J1850) неверные или отсутствующие данные для основной ID
U1067	SCP (J1850) неверные или отсутствующие данные для основной ID
U1068	SCP (J1850) неверные или отсутствующие данные для основной ID
U1069	SCP (J1850) неверные или отсутствующие данные для основной ID
U1070	SCP (J1850) неверные или отсутствующие данные для двигатель Sensors
U1071	SCP (J1850) неверные или отсутствующие данные для двигатель Sensors
U1072	SCP (J1850) неверные или отсутствующие данные для двигатель ОЖ
U1073	SCP (J1850) неверные или отсутствующие данные для двигатель ОЖ
U1074	SCP (J1850) неверные или отсутствующие данные для двигатель масло
U1075	SCP (J1850) неверные или отсутствующие данные для двигатель масло Temp
U1076	SCP (J1850) неверные или отсутствующие данные для основной ID
U1077	SCP (J1850) неверные или отсутствующие данные для основной ID
U1078	SCP (J1850) неверные или отсутствующие данные для основной ID
U1079	SCP (J1850) неверные или отсутствующие данные для основной ID
U1080	SCP (J1850) неверные или отсутствующие данные для основной ID
U1081	SCP (J1850) неверные или отсутствующие данные для основной ID
U1082	SCP (J1850) неверные или отсутствующие данные для двигатель Systems Other
U1083	SCP (J1850) неверные или отсутствующие данные для двигатель Systems Other
U1084	SCP (J1850) неверные или отсутствующие данные для Powertrain Status Request
U1085	SCP (J1850) неверные или отсутствующие данные для Powertrain Status Request
U1086	SCP (J1850) неверные или отсутствующие данные для основной ID
U1087	SCP (J1850) неверные или отсутствующие данные для основной ID
U1088	SCP (J1850) неверные или отсутствующие данные для подвеска
U1089	SCP (J1850) неверные или отсутствующие данные для подвеска
U1090	SCP (J1850) неверные или отсутствующие данные для Non-Legislated Diagnostics
U1091	SCP (J1850) неверные или отсутствующие данные для Non-Legislated Diagnostics
U1092	SCP (J1850) неверные или отсутствующие данные для основной ID
U1093	SCP (J1850) неверные или отсутствующие данные для основной ID
U1094	SCP (J1850) неверные или отсутствующие данные для Experimental # 2
U1095	SCP (J1850) неверные или отсутствующие данные для Experimental # 2
U1096	SCP (J1850) неверные или отсутствующие данные для основной ID
U1097	SCP (J1850) неверные или отсутствующие данные для основной ID
U1098	SCP (J1850) неверные или отсутствующие данные для Vehicle скорость управление
U1099	SCP (J1850) неверные или отсутствующие данные для Vehicle скорость управление
U1100	SCP (J1850) неверные или отсутствующие данные для основной ID
U1101	SCP (J1850) неверные или отсутствующие данные для основной ID
U1102	SCP (J1850) неверные или отсутствующие данные для основной ID
U1103	SCP (J1850) неверные или отсутствующие данные для основной ID
U1104	SCP (J1850) неверные или отсутствующие данные для Chassis Status Request
U1105	SCP (J1850) неверные или отсутствующие данные для Chassis Status Request
U1106	SCP (J1850) неверные или отсутствующие данные для Legislated Diagnostics
U1107	SCP (J1850) неверные или отсутствующие данные для Legislated Diagnostics
U1108	SCP (J1850) неверные или отсутствующие данные для Electric Traction Drive (Inverter)
U1109	SCP (J1850) неверные или отсутствующие данные для Electric Traction Drive (Inverter)
U1110	SCP (J1850) неверные или отсутствующие данные для основной ID
U1111	SCP (J1850) неверные или отсутствующие данные для основной ID
U1112	SCP (J1850) неверные или отсутствующие данные для основной ID
U1113	SCP (J1850) неверные или отсутствующие данные для основной ID
U1114	SCP (J1850) неверные или отсутствующие данные для Charging система
U1115	SCP (J1850) неверные или отсутствующие данные для Charging система
U1116	SCP (J1850) неверные или отсутствующие данные для Electrical Energy Management
U1117	SCP (J1850) неверные или отсутствующие данные для Electrical Energy Management
U1118	SCP (J1850) неверные или отсутствующие данные для основной ID
U1119	SCP (J1850) неверные или отсутствующие данные для основной ID
U1120	SCP (J1850) неверные или отсутствующие данные для основной ID
U1121	SCP (J1850) неверные или отсутствующие данные для основной ID
U1122	SCP (J1850) неверные или отсутствующие данные для Odometer
U1123	SCP (J1850) неверные или отсутствующие данные для Odometer
U1124	SCP (J1850) неверные или отсутствующие данные для основной ID
U1125	SCP (J1850) неверные или отсутствующие данные для основной ID
U1126	SCP (J1850) неверные или отсутствующие данные для основной ID
U1127	SCP (J1850) неверные или отсутствующие данные для основной ID
U1128	SCP (J1850) неверные или отсутствующие данные для основной ID
U1129	SCP (J1850) неверные или отсутствующие данные для основной ID
U1130	SCP (J1850) неверные или отсутствующие данные для топливо система
U1131	SCP (J1850) неверные или отсутствующие данные для топливо система
U1132	SCP (J1850) неверные или отсутствующие данные для Vehicle Motion
U1133	SCP (J1850) неверные или отсутствующие данные для Vehicle Motion
U1134	SCP (J1850) неверные или отсутствующие данные для зажигание выключатель/ Starter
U1135	SCP (J1850) неверные или отсутствующие данные для зажигание выключатель/ Starter
U1136	SCP (J1850) неверные или отсутствующие данные для Telltales
U1137	SCP (J1850) неверные или отсутствующие данные для Telltales
U1138	SCP (J1850) неверные или отсутствующие данные для основной ID
U1139	SCP (J1850) неверные или отсутствующие данные для основной ID
U1140	SCP (J1850) неверные или отсутствующие данные для Gateway
U1141	SCP (J1850) неверные или отсутствующие данные для Gateway
U1142	SCP (J1850) неверные или отсутствующие данные для основной ID
U1143	SCP (J1850) неверные или отсутствующие данные для основной ID
U1144	SCP (J1850) неверные или отсутствующие данные для основной ID
U1145	SCP (J1850) неверные или отсутствующие данные для основной ID
U1146	SCP (J1850) неверные или отсутствующие данные для Vehicle Security
U1147	SCP (J1850) неверные или отсутствующие данные для Vehicle Security
U1148	SCP (J1850) неверные или отсутствующие данные для Audio управление
U1149	SCP (J1850) неверные или отсутствующие данные для Audio управление
U1150	SCP (J1850) неверные или отсутствующие данные для Audible Warnings
U1151	SCP (J1850) неверные или отсутствующие данные для Audible Warnings
U1152	SCP (J1850) неверные или отсутствующие данные для Experimental # 3
U1153	SCP (J1850) неверные или отсутствующие данные для Experimental # 3
U1154	SCP (J1850) неверные или отсутствующие данные для Compact Disc
U1155	SCP (J1850) неверные или отсутствующие данные для Compact Disc
U1156	SCP (J1850) неверные или отсутствующие данные для Digital сигнал Processing
U1157	SCP (J1850) неверные или отсутствующие данные для Digital сигнал Processing
U1158	SCP (J1850) неверные или отсутствующие данные для Antenna
U1159	SCP (J1850) неверные или отсутствующие данные для Antenna
U1160	SCP (J1850) неверные или отсутствующие данные для основной ID
U1161	SCP (J1850) неверные или отсутствующие данные для основной ID
U1162	SCP (J1850) неверные или отсутствующие данные для Digital Audio Tape
U1163	SCP (J1850) неверные или отсутствующие данные для Digital Audio Tape
U1164	SCP (J1850) неверные или отсутствующие данные для Tuner/ Receiver
U1165	SCP (J1850) неверные или отсутствующие данные для Tuner/ Receiver
U1166	SCP (J1850) неверные или отсутствующие данные для Cassette Tape
